No,Level,Kode_Acuan,Kode_2025,Judul_2025,Cakupan_2025,Tidak_Cakupan_2025,Kode_2020,Judul_2020,Cakupan_2020,Tidak_Cakupan_2020,Status
1219,Kelompok (Kode KBLI),35113,,,,,35113,DISTRIBUSI TENAGA LISTRIK,Kelompok ini mencakup usaha pengoperasian sistem distribusi atau usaha penyaluran tenaga listrik melalui jaringan tenaga listrik yang bertegangan menengah ke bawah (di bawah 35 kilovolt) sampai ke konsumen atau pelanggan termasuk dengan gardu-gardu distribusinya baik berasal dari produksi sendiri maupun dari produksi pihak lain.,,DIHAPUS (hanya ada di KBLI 2020)
1220,Kelompok (Kode KBLI),35114,,,,,35114,PENJUALAN TENAGA LISTRIK,Kelompok ini mencakup usaha penjualan tenaga listrik kepada konsumen akhir.,,DIHAPUS (hanya ada di KBLI 2020)
1221,Kelompok (Kode KBLI),35115,,,,,35115,"PEMBANGKIT, TRANSMISI, DISTRIBUSI DAN PENJUALAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA","Kelompok ini mencakup kegiatan memproduksi tenaga listrik, penyaluran tenaga listrik melalui jaringan transmisi dan distribusi tenaga listrik, serta penjualan tenaga listrik kepada konsumen akhir yang dilaksanakan dalam satu kesatuan usaha.",,DIHAPUS (hanya ada di KBLI 2020)
1222,Kelompok (Kode KBLI),35116,,,,,35116,"PEMBANGKIT, TRANSMISI, DAN PENJUALAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA","Kelompok ini mencakup kegiatan memproduksi tenaga listrik, penyaluran tenaga listrik melalui jaringan transmisi, dan penjualan tenaga listrik kepada konsumen akhir yang dilaksanakan dalam satu kesatuan usaha.",,DIHAPUS (hanya ada di KBLI 2020)
1223,Kelompok (Kode KBLI),35117,,,,,35117,"PEMBANGKIT, DISTRIBUSI, DAN PENJUALAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA","Kelompok ini mencakup kegiatan memproduksi tenaga listrik, penyaluran tenaga listrik melalui jaringan distribusi dan penjualan tenaga listrik kepada konsumen akhir yang dilaksanakan dalam satu kesatuan usaha.",,DIHAPUS (hanya ada di KBLI 2020)
1224,Kelompok (Kode KBLI),35118,,,,,35118,"DISTRIBUSI, DAN PENJUALAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA",Kelompok ini mencakup kegiatan penyaluran tenaga listrik melalui jaringan distribusi dan penjualan tenaga listrik kepada konsumen akhir yang dilaksanakan dalam satu kesatuan usaha.,,DIHAPUS (hanya ada di KBLI 2020)
1225,Sub Golongan,3512,3512,PEMBANGKITAN TENAGA LISTRIK DARI SUMBER ENERGI TERBARUKAN,,,3512,PENUNJANG TENAGA LISTRIK,Subgolongan ini mencakup usaha pengoperasian serta usaha lainnya yang terkait dengan instalasi penyediaan dan pemanfaatan tenaga listrik.,"Subgolongan ini tidak mencakup : - usaha jasa konsultansi instalasi tenaga listrik, lihat 71102 - usaha jasa pembangunan dan pemasangan instalasi tenaga listrik, lihat 43211 - usaha jasa pemeliharaan instalasi tenaga listrik, lihat 43211 - usaha jasa pemeriksaan dan pengujian instalasi tenaga listrik, lihat 71204 - usaha jasa penelitian dan pengembangan, lihat 72102 - usaha jasa pendidikan dan pelatihan, lihat 85497 - usaha jasa laboratorium pengujian peralatan dan pemanfaat tenaga listrik, lihat 71202 - usaha jasa sertifikasi peralatan dan pemanfaat tenaga listrik, lihat 71201 - usaha jasa sertifikasi badan usaha penunjang tenaga listrik, lihat 71201 - usaha jasa sertifikasi kompetensi tenaga teknik ketenagalistrikan, lihat 74322",BERUBAH (judul/definisi berbeda)
1226,Kelompok (Kode KBLI),35120,35120,PEMBANGKITAN TENAGA LISTRIK DARI SUMBER ENERGI TERBARUKAN,"Kelompok ini mencakup   - pengoperasian fasilitas pembangkit yang memproduksi listrik dari sumber energi terbarukan, seperti gas bahan bakar hayati (biofuel), tenaga air, tenaga angin di darat dan lepas pantai, tenaga surya fotovoltaik, serta energi termal, panas bumi dan pasang surut, gelombang, dan laut.    Kelompok ini juga mencakup   - aktivitas penjualan unit karbon (carbon credit) yang dilakukan oleh perusahaan pembangkit tenaga listrik","Kelompok ini tidak mencakup   - produksi listrik dari sumber energi tidak terbarukan, lihat subgolongan 3511;   - produksi listrik melalui pembakaran limbah, lihat subgolongan 3821",,,,,BARU (hanya ada di KBLI 2025)
1227,Kelompok (Kode KBLI),35121,,,,,35121,PENGOPERASIAN INSTALASI PENYEDIAAN TENAGA LISTRIK,"Kelompok ini mencakup usaha pengoperasian yang dilakukan oleh pihak lain atas fasilitas pembangkit yang menghasilkan energi listrik, fasilitas sistem transmisi tenaga listrik dan sistem distribusi tenaga listrik.",,DIHAPUS (hanya ada di KBLI 2020)
1228,Kelompok (Kode KBLI),35122,,,,,35122,PENGOPERASIAN INSTALASI PEMANFAATAN TENAGA LISTRIK,"Kelompok ini mencakup usaha pengoperasian yang dilakukan oleh pihak lain atas fasilitas instalasi pemanfaatan tenaga listrik mencakup instalasi pemanfaatan tenaga listrik tegangan tinggi, instalasi pemanfaatan tenaga listrik tegangan menengah, dan instalasi pemanfaatan tenaga listrik tegangan rendah.",,DIHAPUS (hanya ada di KBLI 2020)
1229,Kelompok (Kode KBLI),35129,,,,,35129,AKTIVITAS PENUNJANG TENAGA LISTRIK LAINNYA,"Kelompok ini mencakup usaha jasa lain yang secara langsung berkaitan dengan penyediaan dan pemanfaatan tenaga listrik namun tidak tercakup dalam kelompok 35121 s.d. 35122, seperti jasa pencatatan meteran, pemberian tagihan dan kegiatan perdagangan pulsa/token listrik serta kegiatan penunjang kelistrikan lainnya.",,DIHAPUS (hanya ada di KBLI 2020)
1230,Sub Golongan,3513,3513,AKTIVITAS TRANSMISI DAN DISTRIBUSI TENAGA LISTRIK,,,,,,,BARU (hanya ada di KBLI 2025)
1231,Kelompok (Kode KBLI),35131,35131,AKTIVITAS PENYALURAN TENAGA LISTRIK,"Kelompok ini mencakup   - pengoperasian sistem transmisi yang menyalurkan listrik dari fasilitas pembangkit ke sistem distribusi atau menyalurkan tenaga listrik antar sistem melalui jaringan tenaga listrik yang bertegangan tinggi (antara 35 kilovolt s.d. 245 kilovolt) dan/atau bertegangan ekstra tinggi (lebih besar dari 245 kilovolt), termasuk gardu-gardu induknya, baik berasal dari produksi sendiri maupun dari produksi pihak lain;   - pengoperasian sistem distribusi (seperti saluran, tiang, meteran, dan kabel) yang menyalurkan tenaga listrik yang diterima dari fasilitas pembangkit atau sistem transmisi ke konsumen akhir biasanya bertegangan menengah ke bawah (di bawah 35 kilovolt), termasuk dengan gardu-gardu distribusinya baik berasal dari produksi sendiri maupun dari produksi pihak lain;   - penyewaan dan peminjaman jaringan distribusi tenaga listrik;   - distribusi tenaga listrik melalui jaringan listrik;   - penjualan listrik ke konsumen dengan aset jaringan transmisi/  distribusi milik sendiri;   - pengoperasian pertukaran kapasitas listrik dan transmisi tenaga listrik, kecuali melalui perantara;   - menyalurkan tenaga listrik yang disimpan melalui jaringan listrik","Kelompok ini tidak mencakup   - penjualan listrik melalui jaringan milik pihak lain, lihat kelompok 35401;   - produksi listrik bukan hasil penyimpanan, lihat subgolongan 3511, ;   - pengoperasian stasiun pengisian kendaraan listrik umum (SPKLU) yang terintegrasi dengan pembangkit, lihat kelompok 35140",,,,,BARU (hanya ada di KBLI 2025)
1232,Kelompok (Kode KBLI),35132,35132,AKTIVITAS PENYIMPANAN TENAGA LISTRIK,"Kelompok ini mencakup konversi energi listrik menjadi suatu energi yang  dapat disimpan, penyimpanan energi listrik, dan konversi ulang energi  tersebut menjadi energi listrik, seperti pengoperasian fasilitas  penyimpanan pompa (pump storage), fasilitas penyimpanan udara  bertekanan (compressed air storage), atau fasilitas penyimpanan baterai.Kelompok ini juga mencakup   - pengoperasian stasiun penukaran baterai kendaraan listrik umum (SPBKLU)",,,,,,BARU (hanya ada di KBLI 2025)
1233,Kelompok (Kode KBLI),35133,35133,PENGOPERASIAN FASILITAS ATAU STASIUN PENGISIAN DAYA UNTUK  KENDARAAN DAN PERALATAN LISTRIK,"Kelompok ini mencakup   - pengoperasian fasilitas atau stasiun pengisian daya untuk kendaraan listrik seperti mobil, sepeda motor, skuter, dan sepeda listrik atau stasiun pengisian kendaraan listrik umum (SPKLU) yang tidak terintegrasi dengan pembangkit;   - pengoperasian fasilitas pengisian daya untuk peralatan listrik, seperti telepon genggam atau laptop","Kelompok ini tidak mencakup   - pengoperasian stasiun pengisian kendaraan listrik umum (SPKLU) yang terintegrasi dengan pembangkit, lihat kelompok 35140",,,,,BARU (hanya ada di KBLI 2025)
1234,Sub Golongan,3514,3514,PENYEDIAAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA,,,,,,,BARU (hanya ada di KBLI 2025)
1235,Kelompok (Kode KBLI),35140,35140,PENYEDIAAN TENAGA LISTRIK DALAM SATU KESATUAN USAHA,"Kelompok ini mencakup kegiatan pembangkitan tenaga listrik, penyaluran tenaga listrik melalui jaringan transmisi dan/atau distribusi tenaga listrik, penyimpanan tenaga listrik, dan penjualan tenaga listrik kepada konsumen akhir yang dilaksanakan dalam satu kesatuan usaha.    Kelompok ini juga mencakup   - pengoperasian stasiun pengisian kendaraan listrik umum (SPKLU) yang terintegrasi dengan pembangkit",,,,,,BARU (hanya ada di KBLI 2025)
1236,Sub Golongan,3515,3515,PENUNJANG TENAGA LISTRIK,,,,,,,BARU (hanya ada di KBLI 2025)
1237,Kelompok (Kode KBLI),35151,35151,PENGOPERASIAN INSTALASI PENYEDIAAN TENAGA LISTRIK,"Kelompok ini mencakup pengoperasian yang dilakukan oleh pihak lain  atas fasilitas pembangkit yang menghasilkan energi listrik, fasilitas sistem transmisi tenaga listrik, dan sistem distribusi tenaga listrik",,,,,,BARU (hanya ada di KBLI 2025)
1238,Kelompok (Kode KBLI),35152,35152,PENGOPERASIAN INSTALASI PEMANFAATAN TENAGA LISTRIK,"Kelompok ini mencakup pengoperasian yang dilakukan oleh pihak lain  atas fasilitas instalasi pemanfaatan tenaga listrik, mencakup instalasi  pemanfaatan tenaga listrik tegangan tinggi, instalasi pemanfaatan tenaga  listrik tegangan menengah, dan instalasi pemanfaatan tenaga listrik  tegangan rendah",,,,,,BARU (hanya ada di KBLI 2025)
1239,Kelompok (Kode KBLI),35159,35159,AKTIVITAS PENUNJANG TENAGA LISTRIK LAINNYA,"Kelompok ini mencakup kegiatan jasa lain yang secara langsung  berkaitan dengan penyediaan dan pemanfaatan tenaga listrik termasuk  jasa konservasi energi listrik, namun tidak tercakup dalam kelompok  35151 s.d. 35152, seperti jasa pencatatan meteran dan pemberian  tagihan",,,,,,BARU (hanya ada di KBLI 2025)
1240,Golongan,352,352,PRODUKSI DAN DISTRIBUSI BAHAN BAKAR GAS MELALUI JARINGAN,,,352,PENGADAAN DAN DISTRIBUSI GAS ALAM DAN BUATAN,"Golongan ini mencakup pengolahan gas dan pendistribusian gas alam atau gas buatan ke konsumen melalui suatu sistem saluran pipa, dan kegiatan penjualan gas. Golongan ini juga mencakup penyediaan gas melalui berbagai proses, pengangkutan, pendistribusian dan penyediaan semua jenis bahan bakar gas melalui pipa saluran, penjualan gas kepada konsumen melalui saluran pipa, termasuk kegiatan broker dan agen gas, pertukaran komoditi dan kapasitas pengangkutan bahan bakar gas.","Golongan ini tidak mencakup kegiatan pengoperasian tungku batubara, pembuatan produk gas hasil pengilangan minyak bumi/penyulingan minyak bumi, perdagangan besar bahan bakar gas, perdagangan eceran gas dalam tabung, penjualan langsung bahan bakar, dan transportasi (jarak jauh) gas melalui saluran pipa.",BERUBAH (judul/definisi berbeda)
1241,Sub Golongan,3520,3520,PRODUKSI DAN DISTRIBUSI BAHAN BAKAR GAS MELALUI JARINGAN,,,3520,PENGADAAN DAN DISTRIBUSI GAS ALAM DAN BUATAN,"Subgolongan ini mencakup pengolahan gas dan distribusi gas alam atau buatan atau sintetis kepada konsumen melalui sistem saluran, pemasar atau agen gas, yang melakukan penjualan gas alam melalui sistem distribusi yang dioperasikan pihak lain. Tidak termasuk pengoperasian terpisah saluran pipa gas, khususnya dilakukan pada jarak yang jauh, menghubungkan produsen dengan distributor gas atau antara pusat-pusat kota, yang diklasifikasikan dalam kegiatan pengangkutan atau transportasi pipa saluran lainnya. Subgolongan ini mencakup : - Produksi gas untuk tujuan penyediaan atau suplai gas dengan karbonasi batubara, dari produk sampingan pertanian atau sampah - Industri bahan bakar gas dengan nilai kalor tertentu, melalui pemurnian, pencampuran dan proses lainnya dari berbagai macam gas termasuk gas alam - Transportasi, distribusi, dan suplai semua jenis bahan bakar gas melalui sistem saluran - Perdagangan gas kepada konsumen melalui saluran - Kegiatan agen gas yang mengurus perdagangan gas melalui sistem distribusi gas yang dioperasikan oleh pihak lain - Pengoperasian pertukaran komoditas dan kapasitas pengangkutan bahan bakar gas","Subgolongan ini tidak mencakup : - Pengoperasian oven batubara, lihat 1910 - Industri penyulingan minyak bumi, lihat 1921 - Industri gas industri, lihat 2011 - Perdagangan besar bahan bakar gas, lihat 4661 - Perdagangan eceran gas dalam kemasan (botol atau tabung), lihat 4777 - Perdagangan bahan bakar secara langsung, lihat 4799 - Transportasi (jarak jauh) gas atau penyaluran gas melalui saluran pipa, lihat 4930",BERUBAH (judul/definisi berbeda)
1242,Kelompok (Kode KBLI),35201,35201,PRODUKSI GAS ALAM DAN BUATAN,"Kelompok ini mencakup   - kegiatan pengolahan bahan bakar gas yang dapat dimanfaatkan secara langsung sebagai bahan bakar. dengan pembuatannya disertai usaha peningkatan mutu gas, seperti pemurnian, pencampuran, dan proses lainnya yang dihasilkan dari gas alam,  termasuk gas minyak cair/liquid petroleum gas (LPG); karbonasi dan gasifikasi batu bara; atau gas lainnya;   - kegiatan produksi bahan bakar gas hidrogen yang dihasilkan melalui metode elektrolisis, fotolisis, termokimia, biologis, geologis, dan metode lainnya, dengan memanfaatkan sumber energi baru dan terbarukan maupun sumber energi fosil;   - kegiatan pengolahan bahan bakar biogas yang dihasilkan dari produk sampingan pertanian, perkebunan, peternakan, atau sampah/limbah yang pembuatannya disertai kegiatan peningkatan mutu gas, seperti pemurnian, pencampuran, dan proses lainnya.",,35201,PENGADAAN GAS ALAM DAN BUATAN,"Kelompok ini mencakup usaha pengolahan bahan bakar gas yang dapat dimanfaatkan secara langsung sebagai bahan bakar di mana pembuatannya disertai usaha peningkatan mutu gas, seperti pemurnian, pencampuran dan proses lainnya yang dihasilkan dari gas alam (termasuk LPG), karbonasi dan gasifikasi batu bara, atau bahan hidrokarbon lain.",,BERUBAH (judul/definisi berbeda)
1243,Kelompok (Kode KBLI),35202,35202,DISTRIBUSI GAS ALAM DAN BUATAN MELALUI JARINGAN,"Kelompok ini mencakup   - penyaluran gas melalui jaringan yang bertekanan ekstra tinggi (lebih dari 10 bar); yang bertekanan tinggi (antara 4 bar s.d. 10 bar); dan yang bertekanan menengah ke bawah (di bawah 4 bar) baik berasal dari produksi sendiri maupun produksi pihak lain sampai ke konsumen atau pelanggan;   - perdagangan gas kepada konsumen melalui saluran;   - kegiatan agen gas yang melakukan perdagangan gas melalui sistem distribusi gas yang dioperasikan oleh pihak lain;   - pengoperasian pertukaran komoditas dan kapasitas pengangkutan bahan bakar gas.    Kelompok ini juga mencakup   - kegiatan distribusi melalui jaringan untuk bahan bakar gas hidrogen yang dihasilkan melalui proses elektrolisis, fotolisis, termokimia, biologis, geologis, dan/atau metode lainnya, dengan memanfaatkan sumber energi baru dan terbarukan maupun sumber energi fosil;   - distribusi biogas dan gas lainnya melalui jaringan","Kelompok ini tidak mencakup   - penyaluran gas melalui pipa atas dasar balas jasa atau fee, lihat kelompok 49300",35202,DISTRIBUSI GAS ALAM DAN BUATAN,"Kelompok ini mencakup usaha penyaluran gas melalui jaringan yang bertekanan ekstra tinggi (lebih dari 10 bar); yang bertekanan tinggi (antara 4 bar s.d. 10 bar); dan yang bertekanan menengah ke bawah (di bawah 4 bar) baik berasal dari produksi sendiri maupun produksi pihak lain sampai ke konsumen atau pelanggan. Penyaluran gas melalui pipa atas dasar balas jasa atau fee, dimasukkan dalam kelompok 49300. Termasuk penyaluran, distribusi dan pengadaan semua jenis bahan bakar gas melalui sistem saluran, perdagangan gas kepada konsumen melalui saluran, kegiatan agen gas yang melakukan perdagangan gas melalui sistem distribusi gas yang dioperasikan oleh pihak lain dan pengoperasian pertukaran komoditas dan kapasitas pengangkutan bahan bakar gas.",,BERUBAH (judul/definisi berbeda)
1244,Kelompok (Kode KBLI),35203,,,,,35203,PENGADAAN GAS BIO,"Kelompok ini mencakup usaha pengolahan bahan bakar gas yang dapat dimanfaatkan secara langsung sebagai bahan bakar yang dihasilkan dari produk sampingan pertanian, perkebunan, peternakan, atau sampah/limbah dimana pembuatannya disertai usaha peningkatan mutu gas, seperti pemurnian, pencampuran dan proses lainnya.",,DIHAPUS (hanya ada di KBLI 2020)
1245,Golongan,353,353,PENYEDIAAN UAP PANAS DAN PENYEJUK UDARA,,,353,"PENGADAAN UAP/AIR PANAS, UDARA DINGIN DAN PRODUKSI ES","Golongan ini mencakup kegiatan produksi, pengumpulan dan pendistribusian uap dan air panas untuk pemanas, energi dan tujuan lain, produksi dan distribusi udara dingin, air dingin/air es untuk tujuan pendinginan, dan produksi es, termasuk es untuk kebutuhan makanan/minuman dan tujuan non makanan.",,BERUBAH (judul/definisi berbeda)
1246,Sub Golongan,3530,3530,PENYEDIAAN UAP PANAS DAN PENYEJUK UDARA,,,3530,"PENGADAAN UAP/AIR PANAS, UDARA DINGIN DAN PRODUKSI ES","Subgolongan ini mencakup : - Produksi, pengumpulan dan distribusi uap dan air panas untuk pemanas, energi dan kegunaan lain - Produksi dan distribusi udara dingin - Produksi dan distribusi air dingin/air es untuk kebutuhan pendinginan - Produksi es, termasuk es untuk kebutuhan makanan atau minuman dan kegunaan lain (misal pendinginan)",,BERUBAH (judul/definisi berbeda)
1247,Kelompok (Kode KBLI),35301,35301,PENGADAAN UAP/AIR PANAS DAN UDARA DINGIN,"Kelompok ini mencakup kegiatan memproduksi dan mendistribusikan uap dan air panas untuk pemanasan, pembangkit tenaga, dan penggunaan lainnya, seperti produksi, pengumpulan dan distribusi uap dan air panas untuk pemanas, energi, dan kegunaan lain, serta kegiatan produksi dan distribusi udara dingin. Kelompok ini juga mencakup penyimpanan energi panas bumi",,35301,PENGADAAN UAP/AIR PANAS DAN UDARA DINGIN,"Kelompok ini mencakup kegiatan memproduksi dan mendistribusikan uap dan air panas untuk pemanasan, pembangkit tenaga dan penggunaan lainnya. Kegiatannya seperti produksi, pengumpulan dan distribusi uap dan air panas untuk pemanas, energi dan kegunaan lain dan kegiatan produksi dan distribusi udara dingin.",,TETAP (judul sama)
1248,Kelompok (Kode KBLI),35302,35302,PRODUKSI ES,"Kelompok ini mencakup kegiatan produksi dan distribusi air dingin/air es untuk kebutuhan pendinginan dan produksi es, seperti es kristal, ice tube, dan ice cube",,35302,PRODUKSI ES,"Kelompok ini mencakup kegiatan produksi dan distribusi air dingin/air es untuk kebutuhan pendinginan, dan produksi es, termasuk es untuk kebutuhan makanan atau minuman dan kegunaan lain (misal pendinginan).",,TETAP (judul sama)
1249,Golongan,354,354,AKTIVITAS BROKER DAN AGEN UNTUK TENAGA LISTRIK DAN GAS ALAM,,,,,,,BARU (hanya ada di KBLI 2025)
1250,Sub Golongan,3540,3540,AKTIVITAS BROKER DAN AGEN PENJUALAN UNTUK TENAGA LISTRIK DAN GAS ALAM,,,,,,,BARU (hanya ada di KBLI 2025)
1251,Kelompok (Kode KBLI),35401,35401,AKTIVITAS BROKER DAN AGEN PENJUALAN TENAGA LISTRIK,"Kelompok ini mencakup kegiatan broker dan agen penjualan listrik melalui sistem distribusi tenaga listrik yang dioperasikan oleh pihak lain.    Kelompok ini juga mencakup   - penjualan token listrik;   - kegiatan agen penjualan untuk pengoperasian tenaga listrik, pertukaran kapasitas distribusi dan transmisi untuk tenaga listrik","Kelompok ini tidak mencakup   - penyimpanan dan distribusi atau penyediaan tenaga listrik kepada pengguna (melalui sistem utama) oleh produsen (milik sendiri), lihat golongan 351",,,,,BARU (hanya ada di KBLI 2025)
1252,Kelompok (Kode KBLI),35402,35402,AKTIVITAS BROKER DAN AGEN PENJUALAN GAS ALAM,Kelompok ini mencakup kegiatan agen penjualan gas yang mengatur penjualan bahan bakar gas melalui sistem distribusi gas yang dioperasikan oleh pihak lain.    Kelompok ini juga mencakup   - kegiatan agen penjualan pertukaran kapasitas komoditas dan distribusi untuk bahan bakar gas,"Kelompok ini tidak mencakup   - penyimpanan dan distribusi atau penyediaan gas alam kepada pengguna melalui sistem utama oleh produsen (milik sendiri), lihat golongan 352;   - aktivitas jasa intermediasi untuk pengangkutan bahan bakar gas, lihat subgolongan 5231",,,,,BARU (hanya ada di KBLI 2025)
1253,Kategori,E,,"E.  PENYEDIAAN AIR; PENGELOLAAN AIR LIMBAH, PENANGANAN LIMBAH, DAN REMEDIASI",,,,"E. TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS REMEDIASI",,,BERUBAH (judul/definisi berbeda)
1254,Golongan Pokok,36,36,"PENAMPUNGAN, PENGAMBILAN, PENGOLAHAN, DAN PENYEDIAAN AIR",,,36,TREATMENT AIR,"Golongan pokok ini mencakup kegiatan pengumpulan, pengolahan dan pendistribusian air untuk kebutuhan rumah tangga dan industri. Pengumpulan air berasal dari berbagai sumber, seperti halnya pendistribusian melalui berbagai saluran pipa, tercakup di sini.",,BERUBAH (judul/definisi berbeda)
1255,Golongan,360,360,"PENAMPUNGAN, PENGAMBILAN, PENGOLAHAN, DAN PENYEDIAAN AIR",,,360,TREATMENT AIR,"Golongan ini mencakup kegiatan pengumpulan, pengolahan dan pendistribusian air melalui berbagai saluran pipa untuk kebutuhan rumah tangga dan industri. Golongan ini juga mencakup kegiatan pengumpulan, penjernihan dan pengolahan air dari sungai, danau, mata air, hujan dan lain-lain. Termasuk juga proses penghilangan garam dari air laut yang utamanya untuk menghasilkan air tawar, pendistribusian air dengan truk atau saluran lainnya dan pengoperasian saluran irigasi.","Golongan ini tidak mencakup pengoperasian peralatan irigasi untuk keperluan pertanian, pengolahan air limbah dalam rangka pencegahan polusi dan angkutan saluran pipa jarak jauh untuk air.",BERUBAH (judul/definisi berbeda)
1256,Sub Golongan,3600,3600,"PENAMPUNGAN, PENGAMBILAN, PENGOLAHAN, DAN PENYEDIAAN AIR",,,3600,TREATMENT AIR,"Subgolongan ini mencakup kegiatan pengadaan air bersih dan penyaluran air bersih untuk rumah tangga dan kegiatan industri. Pengumpulan air dari berbagai sumber dan distribusi ke berbagai daerah juga termasuk subgolongan ini. Pengoperasian saluran irigasi juga termasuk dalam subgolongan ini, namun penyediaan jasa pengairan (irigasi) melalui mesin penyemprotan dan jasa penunjang pertanian sejenisnya, tidak termasuk dalam subgolongan ini. Subgolongan ini mencakup : - Pengumpulan air dari sungai, danau, sumur dan sebagainya - Pengumpulan air hujan - Pemurnian air untuk tujuan suplai atau penyediaan air - Penanganan air untuk industri dan tujuan lainnya - Penghilangan zat garam dari air laut atau air tanah untuk memperoleh air sebagai produk pokok - Penyaluran air dengan alat transportasi truk atau lainnya - Pengoperasian saluran irigasi","Subgolongan ini tidak mencakup : - Pengoperasian peralatan irigasi untuk keperluan pertanian, lihat 0161 - Penanganan air limbah untuk mencegah polusi, lihat 3701, 3702 - Pengangkutan (jarak jauh) air melalui saluran pipa, lihat 4930",BERUBAH (judul/definisi berbeda)
1257,Kelompok (Kode KBLI),36001,36001,PENGOLAHAN DAN PENYEDIAAN AIR MINUM,"Kelompok ini mencakup kegiatan penampungan dan pengambilan air dari air permukaan, air tanah, air laut, dan sebagainya serta pengolahan menjadi air minum dan pendistribusian air minum melalui jaringan perpipaan dan bukan jaringan perpipaan, seperti mobil tangki (asal mobil tangki tersebut masih dalam satu pengelolaan administratif dari perusahaan air minum tersebut), untuk dijual kepada konsumen atau pelanggan",,36001,"PENAMPUNGAN, PENJERNIHAN DAN PENYALURAN AIR MINUM","Kelompok ini mencakup usaha pengambilan air secara langsung dari mata air dan air tanah serta penjernihan air permukaan dari sumber air (sungai, danau, sumur dan sebagainya) dan penyaluran air minum secara langsung dari terminal air melalui saluran pipa, mobil tangki (asal mobil tangki tersebut masih dalam satu pengelolaan administratif dari perusahaan air minum tersebut) untuk dijual kepada konsumen atau pelanggan, seperti rumah tangga, instansi/lembaga/badan pemerintah, badan-badan sosial, badan usaha milik negara, perusahaan/usaha swasta antara lain hotel, industri pengolahan dan pertokoan.",,BERUBAH (judul/definisi berbeda)
1258,Kelompok (Kode KBLI),36002,36002,PENAMPUNGAN DAN PENYEDIAAN AIR BAKU,"Kelompok ini mencakup kegiatan penyediaan air baku untuk keperluan industri, pembangkit listrik, dan lain-lain, termasuk yang dilakukan di dalam kawasan hutan. Kelompok ini juga mencakup kegiatan pengelolaan jaringan irigasi",Kelompok ini tidak mencakup    - penyediaan jasa irigasi seperti penyemprotan untuk keperluan pertanian;   - penggunaan air baku sebagai media budi daya oleh pembudi daya ikan yang dilakukan sebagai satu rangkaian kegiatan,36002,PENAMPUNGAN DAN PENYALURAN AIR BAKU,"Kelompok ini mencakup usaha pengadaan dan penyaluran air baku untuk keperluan industri, pembangkit listrik dan lain-lain. Kelompok ini juga mencakup kegiatan pengelolaan jaringan irigasi,",tidak mencakup pengoperasian peralatan irigasi seperti alat penyemprot untuk keperluan pertanian.,BERUBAH (judul/definisi berbeda)
1259,Kelompok (Kode KBLI),36003,36003,AKTIVITAS PENUNJANG PENYEDIAAN AIR,"Kelompok ini mencakup kegiatan yang secara langsung berhubungan dengan penyediaan air, seperti penyewaan dan peminjaman jaringan distribusi air, pemberian tagihan, dan kegiatan penunjang lainnya. Kegiatan pada kelompok ini termasuk distribusi air yang dilakukan perorangan seperti pedagang air pikulan/dorongan/mobil tangk","Kelompok ini tidak mencakup kegiatan pencatatan meteran air oleh pihak ketiga, lihat subgolongan 8299",36003,AKTIVITAS PENUNJANG TREATMENT AIR,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha pengadaan dan penyaluran air bersih, seperti jasa pencatatan meteran, pemberian tagihan dan kegiatan penunjang lainnya. Kegiatan pada kelompok ini termasuk distribusi air yang dilakukan perorangan seperti pedagang air pikulan/dorongan/mobil tangki.",,BERUBAH (judul/definisi berbeda)
1260,Golongan Pokok,37,37,PENGELOLAAN AIR LIMBAH,,,37,TREATMENT AIR LIMBAH,"Golongan pokok ini mencakup kegiatan pengoperasian sistem pembuangan air limbah atau fasilitas pengolahan air limbah, termasuk kegiatan pengumpulan dan pengangkutan air limbah melalui jaringan saluran pembuangan limbah dan fasilitas pengangkutan. Golongan pokok ini juga mencakup penyedotan dan pembersihan tempat penampungan air limbah, pelayanan dan pengolahan air limbah melalui saluran secara proses biologi, kimia dan fisika, juga mencakup pemeliharaan dan pembersihan saluran air dan saluran pembuangan.",,BERUBAH (judul/definisi berbeda)
1261,Golongan,370,370,PENGELOLAAN AIR LIMBAH,,,370,TREATMENT AIR LIMBAH,"Golongan ini mencakup kegiatan pengoperasian sistem pembuangan air limbah atau fasilitas pengolahan air limbah, termasuk kegiatan pengumpulan dan pengangkutan air limbah. Golongan ini juga mencakup pengosongan dan pembersihan tempat penampungan limbah, pelayanan dan pengolahan air limbah melalui saluran secara proses biologi, kimia dan fisika, juga mencakup pemeliharaan dan pembersihan saluran air dan saluran pembuangan.",,BERUBAH (judul/definisi berbeda)
1262,Sub Golongan,3700,3700,PENGELOLAAN AIR LIMBAH,,,,,,,BARU (hanya ada di KBLI 2025)
